Codigo_Punto,Aliado,Latitud,Longitud
18087,REVAL,4.0578,-73.67343
18084,VALE+,4.67559096,-74.12033354
18083,REVAL,4.14793627,-73.63696689
18079,VALE+,4.7228276,-74.0698533
18078,VALE+,4.6778965,-74.1273946
18077,VALE+,4.73006674,-74.10176961
18076,VALE+,5.30731659,-73.81763371
18075,VALE+,4.53330053,-75.67336998
18074,VALE+,6.24404109,-75.60407279
18222,VALE+,3.5247316,-76.30750985
18221,VALE+,4.0910282,-76.1719926
18220,VALE+,3.610056,-76.38531
18219,VALE+,2.611003,-76.37953
18218,REVAL,4.4090129,-75.1444077
18216,REVAL,7.121925,-73.11196
18215,VALE+,3.8903008,-76.3069971
18294,VALE+,4.81530548,-75.6995245
18214,REVAL,2.92750536,-75.28726014
18213,REVAL,7.11329744,-73.12992717
18212,REVAL,10.46564944,-73.2463943
18211,REVAL,7.08382914,-73.17244357
18210,REVAL,7.12189558,-73.12278867
18209,REVAL,7.12315451,-73.12337972
18208,VALE+,2.48195534,-76.57541913
18207,REVAL,10.98398929,-74.78988208
18206,REVAL,7.11812595,-73.1276018
18205,REVAL,4.534123,-75.67433
18204,VALE+,3.46969208,-76.52780896
18203,REVAL,11.00856838,-74.2492116
18202,REVAL,4.44115984,-75.23689966
18201,REVAL,10.48031184,-73.28234639
18200,VALE+,3.4582221,-76.4634096
18679,REVAL,3.2722843,-73.36954177
18199,REVAL,7.84943253,-72.50420862
18198,REVAL,4.137601,-73.58946
18197,VALE+,3.43829521,-76.4882497
18196,VALE+,4.74571509,-74.04372175
18195,VALE+,4.85410058,-74.06238716
18194,REVAL,8.75173,-75.90714
18193,VALE+,4.50895492,-74.11190598
18192,REVAL,11.22198865,-74.19560097
18191,REVAL,6.98635521,-73.04995556
18189,VALE+,6.27482034,-75.56495832
18188,VALE+,6.16806352,-75.60805356
18187,VALE+,5.066956,-76.878623
18186,REVAL,4.92394098,-75.0671272
18185,VALE+,4.96808521,-73.90937644
18184,REVAL,11.00892177,-74.24477718
18576,REVAL,3.9327402,-76.4851969
18502,REVAL,5.8761463,-73.57378132
18293,REVAL,5.6559157,-73.9788251
18292,REVAL,5.45331331,-73.81375921
18182,REVAL,10.46966373,-73.26420161
18181,REVAL,10.47902731,-73.24545821
18180,REVAL,4.08469374,-72.95592241
18179,VALE+,2.4509654,-77.980351
18178,VALE+,1.204919,-77.28214
18177,VALE+,1.2102929,-77.2755146
18175,VALE+,6.108916,-75.42299
18232,VALE+,5.05974984,-73.97884339
18174,VALE+,5.02369293,-74.00506315
18173,VALE+,4.74447792,-74.10343291
18172,VALE+,5.06799311,-75.51271206
18171,VALE+,0.82404686,-77.64217025
18170,REVAL,4.08286128,-73.66461287
18169,VALE+,4.73170596,-74.10632037
18167,VALE+,3.26031368,-76.53840554
18166,VALE+,4.55894477,-74.11866189
18165,VALE+,4.57967203,-74.09757726
18164,VALE+,3.54811141,-76.30335409
18163,VALE+,4.61589474,-74.16046078
18162,REVAL,7.131247,-73.11264
18161,VALE+,4.73960752,-74.08445121
18291,VALE+,7.88071511,-76.61559023
18159,REVAL,7.11351,-73.10651
18158,REVAL,4.44106679,-75.17002463
18156,VALE+,4.54596637,-74.15026441
18155,VALE+,4.63362943,-74.11331223
18154,REVAL,4.14219592,-73.61868805
18153,REVAL,3.98975048,-73.76021408
18152,VALE+,4.51028632,-74.10758132
18151,VALE+,4.58756029,-74.10742852
18290,REVAL,9.35309765,-75.95272752
18149,REVAL,10.9809569,-74.8107
18148,REVAL,11.00791582,-74.24970187
18147,REVAL,7.121882,-73.12285
18146,VALE+,3.17404824,-76.2600485
18144,REVAL,4.30005201,-74.80553029
18143,VALE+,4.60590666,-74.1736166
18289,REVAL,10.98175313,-74.77786104
18678,VALE+,6.6471141,-75.46037626
18288,REVAL,10.42139988,-75.51808165
18287,VALE+,4.57035812,-74.0766993
18286,REVAL,3.5471134,-73.7101751
18284,VALE+,4.58261299,-74.21991241
18283,VALE+,4.63835981,-74.19877412
18995,VALE+,6.7801131,-76.128424
18281,REVAL,7.12625314,-73.12814183
18280,REVAL,5.53304595,-73.36308642
18279,REVAL,10.46663008,-73.2569406
18273,VALE+,4.06324,-76.19612
18272,VALE+,3.47821247,-76.51769319
18271,VALE+,6.14299,-75.44646
18270,REVAL,8.555849,-74.2632522
18269,REVAL,9.31945533,-75.41477679
18268,REVAL,9.23618159,-74.35257303
18267,REVAL,9.24431974,-74.76166206
18266,VALE+,3.41531146,-76.46856214
18265,REVAL,7.06549208,-73.85706644
18263,REVAL,4.10104676,-73.65220847
18262,REVAL,4.92242146,-75.06413153
18261,REVAL,2.93055593,-75.28721227
18260,VALE+,6.64960759,-75.46175683
18259,VALE+,6.56701105,-75.51806158
18258,VALE+,6.48491,-75.38753
18501,VALE+,4.39061689,-75.6857385
18500,VALE+,4.56768677,-75.75071414
18498,REVAL,7.91975356,-72.49694949
18497,REVAL,7.90453731,-72.49713742
18496,REVAL,10.40861,-75.51499
18495,REVAL,10.02874377,-73.23572686
18419,VALE+,3.41419031,-76.34778078
18418,VALE+,3.40471137,-76.47189658
18417,VALE+,3.52647956,-76.290231
18416,VALE+,3.52488875,-76.28699266
